grade,word_len,num_sentences,distribution,,
high,568,25,1.54187851,4,High
high,508,38,3.443626198,5,High
high,458,26,1.688166794,4,High
high,456,22,1.103013659,4,High
high,454,23,1.249301943,4,High
high,430,17,0.371572241,3,High
high,426,20,0.810437092,3,High
high,424,20,0.810437092,3,High
high,419,19,0.664148808,3,High
high,403,19,0.664148808,3,High
high,392,16,0.225283957,3,High
high,389,16,0.225283957,3,High
high,387,16,0.225283957,3,High
high,387,17,0.371572241,3,High
high,386,25,1.54187851,4,High
high,385,17,0.371572241,3,High
high,385,18,0.517860524,3,High
high,383,25,1.54187851,4,High
high,382,20,0.810437092,3,High
high,379,19,0.664148808,3,High
high,370,21,0.956725375,3,High
high,369,20,0.810437092,3,High
high,364,21,0.956725375,3,High
high,361,16,0.225283957,3,High
high,358,21,0.956725375,3,High
high,357,19,0.664148808,3,High
high,356,22,1.103013659,4,High
high,353,23,1.249301943,4,High
high,349,25,1.54187851,4,High
high,348,24,1.395590226,4,High
high,347,22,1.103013659,4,High
high,341,23,1.249301943,4,High
high,338,17,0.371572241,3,High
high,337,21,0.956725375,3,High
high,334,23,1.249301943,4,High
high,332,17,0.371572241,3,High
high,332,18,0.517860524,3,High
high,331,20,0.810437092,3,High
high,328,21,0.956725375,3,High
high,320,19,0.664148808,3,High
high,318,16,0.225283957,3,High
high,318,16,0.225283957,3,High
high,318,19,0.664148808,3,High
high,317,17,0.371572241,3,High
high,316,19,0.664148808,3,High
high,314,22,1.103013659,4,High
high,313,18,0.517860524,3,High
high,308,20,0.810437092,3,High
high,295,16,0.225283957,3,High
high,259,17,0.371572241,3,High
low,316,14,-0.06729261,2,Low
low,316,12,-0.359869178,2,Low
low,315,14,-0.06729261,2,Low
low,307,15,0.078995673,2,Low
low,307,11,-0.506157461,2,Low
low,298,15,0.078995673,2,Low
low,283,12,-0.359869178,2,Low
low,271,15,0.078995673,2,Low
low,250,9,-0.798734029,2,Low
low,242,11,-0.506157461,2,Low
low,238,13,-0.213580894,2,Low
low,237,10,-0.652445745,2,Low
low,232,14,-0.06729261,2,Low
low,228,7,-1.091310596,1,Low
low,220,8,-0.945022313,2,Low
low,220,7,-1.091310596,1,Low
low,219,9,-0.798734029,2,Low
low,215,2,-1.822752015,1,Low
low,205,7,-1.091310596,1,Low
low,204,10,-0.652445745,2,Low
low,204,13,-0.213580894,2,Low
low,187,9,-0.798734029,2,Low
low,186,11,-0.506157461,2,Low
low,184,8,-0.945022313,2,Low
low,178,8,-0.945022313,2,Low
low,176,5,-1.383887164,1,Low
low,176,7,-1.091310596,1,Low
low,166,6,-1.23759888,1,Low
low,161,10,-0.652445745,2,Low
low,157,6,-1.23759888,1,Low
low,149,12,-0.359869178,2,Low
low,147,13,-0.213580894,2,Low
low,143,6,-1.23759888,1,Low
low,142,9,-0.798734029,2,Low
low,137,9,-0.798734029,2,Low
low,137,5,-1.383887164,1,Low
low,136,12,-0.359869178,2,Low
low,135,5,-1.383887164,1,Low
low,131,8,-0.945022313,2,Low
low,129,7,-1.091310596,1,Low
low,128,10,-0.652445745,2,Low
low,120,7,-1.091310596,1,Low
low,118,4,-1.530175447,1,Low
low,114,6,-1.23759888,1,Low
low,113,5,-1.383887164,1,Low
low,97,5,-1.383887164,1,Low
low,92,6,-1.23759888,1,Low
low,83,3,-1.676463731,1,Low
low,77,4,-1.530175447,1,Low
low,11,1,-1.969040298,1,Low
,,,0.078995673,,
,,,0.225283957,,
